Year,week,Temperature,Relative Temperature,Wind,Rel. humidity,Dew Point,Pressure,Daily minimum temperature,Daily maximum temperature,Clear,FogRain,FogSnowfall,FogSnowfallRain,FogThunderstormRain,HailFogThunderstormRain,Rain,Snowfall,SnowfallRain,Thunderstorm,ThunderstormRain,ThunderstormSnowfallRain
2012,1,-5.290909090909091,-8.163636363636364,8.436363636363636,0.5706060606060607,-13.054545454545455,1027.878787878788,-10.142857142857142,-0.2857142857142857,6,0,0,0,0,0,0,1,0,0,0,0
2012,2,-3.8275862068965516,-5.9655172413793105,7.43448275862069,0.5688965517241379,-11.73103448275862,1028.5655172413792,-9.142857142857142,1.2857142857142858,6,0,0,0,0,0,0,1,0,0,0,0
2012,3,0.04294478527607362,-2.460122699386503,8.214723926380367,0.5288343558282209,-8.94478527607362,1021.9141104294479,-5.0,5.571428571428571,4,0,0,0,0,0,2,0,1,0,0,0
2012,4,-5.927272727272728,-10.296969696969697,11.593939393939394,0.41484848484848486,-18.024242424242424,1025.2787878787879,-10.428571428571429,-0.8571428571428571,4,0,0,0,0,0,0,3,0,0,0,0
2012,5,-8.254658385093167,-12.819875776397515,11.652173913043478,0.4175776397515528,-20.18633540372671,1027.329192546584,-14.571428571428571,-2.857142857142857,5,0,0,0,0,0,0,1,1,0,0,0
2012,6,-4.871951219512195,-8.00609756097561,9.914634146341463,0.4627439024390244,-15.621951219512194,1023.7682926829268,-10.571428571428571,0.42857142857142855,5,0,0,0,0,0,0,1,1,0,0,0
2012,7,-2.4634146341463414,-5.932926829268292,11.50609756097561,0.3629268292682927,-16.871951219512194,1024.9573170731708,-7.857142857142857,3.0,7,0,0,0,0,0,0,0,0,0,0,0
2012,8,0.4727272727272727,-2.0303030303030303,10.327272727272728,0.5552121212121212,-8.26060606060606,1020.7636363636364,-4.142857142857143,6.571428571428571,6,0,0,0,0,0,1,0,0,0,0,0
2012,9,2.44311377245509,0.2215568862275449,9.377245508982035,0.38892215568862276,-11.8562874251497,1022.5928143712575,-2.142857142857143,8.428571428571429,6,0,0,0,0,0,1,0,0,0,0,0
2012,10,3.4294871794871793,0.36538461538461536,13.878205128205128,0.5495512820512821,-5.397435897435898,1018.8589743589744,-0.7142857142857143,7.428571428571429,3,0,0,0,0,0,3,1,0,0,0,0
2012,11,2.8132530120481927,0.1927710843373494,12.439759036144578,0.5230722891566265,-7.192771084337349,1022.2168674698795,-1.2857142857142858,8.428571428571429,6,0,0,0,0,0,1,0,0,0,0,0
2012,12,4.0,1.414012738853503,12.605095541401274,0.5105732484076433,-6.477707006369426,1016.9363057324841,-0.42857142857142855,8.571428571428571,4,0,0,0,0,0,2,1,0,0,0,0
2012,13,6.621951219512195,4.536585365853658,13.408536585365853,0.5190853658536585,-3.8292682926829267,1019.9878048780488,1.8571428571428572,11.857142857142858,6,0,0,0,0,0,1,0,0,0,0,0
2012,14,5.957575757575758,3.618181818181818,15.818181818181818,0.47230303030303034,-5.824242424242424,1014.2666666666667,1.5714285714285714,10.857142857142858,5,0,0,0,0,0,1,0,1,0,0,0
2012,15,10.785714285714286,10.125,11.255952380952381,0.6292261904761904,3.3095238095238093,1013.7083333333334,6.285714285714286,16.571428571428573,6,0,0,0,0,0,1,0,0,0,0,0
2012,16,13.024242424242424,12.751515151515152,10.181818181818182,0.5196969696969697,1.9454545454545455,1015.3030303030303,8.285714285714286,19.142857142857142,5,0,0,0,0,0,2,0,0,0,0,0
2012,17,14.10179640718563,13.502994011976048,14.263473053892216,0.6219161676646706,5.7844311377245505,1008.5868263473054,9.857142857142858,18.714285714285715,4,0,0,0,0,0,3,0,0,0,0,0
2012,18,19.914634146341463,19.664634146341463,10.53048780487805,0.5285365853658537,8.975609756097562,1008.1219512195122,13.142857142857142,26.142857142857142,7,0,0,0,0,0,0,0,0,0,0,0
2012,19,17.672727272727272,17.472727272727273,8.872727272727273,0.4875151515151515,5.539393939393939,1010.8545454545455,12.428571428571429,24.0,7,0,0,0,0,0,0,0,0,0,0,0
2012,20,16.778443113772454,16.634730538922156,8.748502994011975,0.6174251497005988,8.479041916167665,1009.2335329341317,12.571428571428571,21.714285714285715,4,0,0,0,0,0,2,0,0,0,1,0
2012,21,19.862275449101798,19.550898203592816,8.622754491017965,0.5049700598802395,7.958083832335329,1012.6586826347306,14.285714285714286,26.714285714285715,7,0,0,0,0,0,0,0,0,0,0,0
2012,22,20.387878787878787,20.284848484848485,8.848484848484848,0.5959393939393939,11.636363636363637,1015.5454545454545,15.571428571428571,25.285714285714285,4,0,0,0,0,0,2,0,0,0,1,0
2012,23,22.119760479041915,22.065868263473053,8.790419161676647,0.6321556886227544,13.988023952095809,1006.1137724550898,17.714285714285715,27.571428571428573,7,0,0,0,0,0,0,0,0,0,0,0
2012,24,23.273809523809526,23.267857142857142,11.482142857142858,0.6297619047619047,15.392857142857142,1005.1547619047619,19.0,28.714285714285715,7,0,0,0,0,0,0,0,0,0,0,0
2012,25,24.365269461077844,24.38323353293413,9.970059880239521,0.6261676646706587,16.05389221556886,1006.4251497005988,19.857142857142858,30.142857142857142,5,0,0,0,0,0,2,0,0,0,0,0
2012,26,25.239520958083833,25.37125748502994,13.77245508982036,0.5904790419161676,15.89820359281437,1008.2934131736527,20.714285714285715,30.0,5,0,0,0,0,0,2,0,0,0,0,0
2012,27,23.041666666666668,23.529761904761905,8.5,0.8094642857142857,19.38095238095238,1002.6785714285714,20.285714285714285,26.285714285714285,2,0,0,0,0,0,3,0,0,0,2,0
2012,28,24.596385542168676,25.512048192771083,9.620481927710843,0.7743975903614458,20.198795180722893,1001.4457831325301,21.285714285714285,28.428571428571427,2,0,0,0,0,0,4,0,0,0,1,0
